iter	RMSE
0	2.875304097
1	2.760928888
2	2.653652171
3	2.552422016
4	2.455053471
5	2.36192583
6	2.268847695
7	2.184219119
8	2.101384532
9	2.023627587
10	1.951371006
11	1.879566789
12	1.811829384
13	1.747625045
14	1.687344613
15	1.625566307
16	1.569808303
17	1.517858103
18	1.466828448
19	1.417245312
20	1.371012427
21	1.326939142
22	1.283977103
23	1.239371827
24	1.19872283
25	1.159948437
26	1.12266774
27	1.089988551
28	1.055286873
29	1.022291214
30	0.9906783231
31	0.9627871548
32	0.9345057242
33	0.9067790692
34	0.8807615926
35	0.8552677685
36	0.831951374
37	0.8097258882
38	0.7874560897
39	0.7657995805
40	0.7459636108
41	0.7270209039
42	0.7085655314
43	0.6906166684
44	0.6735730836
45	0.6574336972
46	0.6427550849
47	0.6276441737
48	0.6132862586
49	0.5998245689
50	0.5877365074
51	0.5748574821
52	0.5628073383
53	0.5510378448
54	0.5405788267
55	0.5289177127
56	0.5186004791
57	0.5091534179
58	0.4992230809
59	0.4906688151
60	0.4820703012
61	0.4742543683
62	0.4656841088
63	0.4574385981
64	0.4492851501
65	0.4416681362
66	0.4338237976
67	0.4259406961
68	0.4191590829
69	0.4122512321
70	0.405165499
71	0.3989629655
72	0.393674148
73	0.3881849069
74	0.3823655227
75	0.3772854232
76	0.3716714739
77	0.3670978075
78	0.3621994223
79	0.358630415
80	0.3534763089
81	0.3493449615
82	0.3446473828
83	0.3404596419
84	0.335941792
85	0.33214481
86	0.3280565647
87	0.3246297224
88	0.3207688489
89	0.3178081704
90	0.3144424977
91	0.3108082003
92	0.3075394829
93	0.3048489352
94	0.3014353952
95	0.2983499317
96	0.2958378339
97	0.2933454523
98	0.2898694666
99	0.2871462974
100	0.2844892739
101	0.2817589023
102	0.2797922971
103	0.2764206945
104	0.2739373326
105	0.2716420321
106	0.269025194
107	0.2668275739
108	0.264758057
109	0.2628809487
110	0.2601291577
111	0.2580642411
112	0.2560338464
113	0.253503899
114	0.2515541186
115	0.2496578301
116	0.2477923441
117	0.2462468905
118	0.2445333119
119	0.2428811179
120	0.24106569
121	0.239598642
122	0.2378638648
123	0.2363720716
124	0.2346311867
125	0.2328919542
126	0.2313914402
127	0.2300367476
128	0.228342391
129	0.2270489855
130	0.2257925207
131	0.2244203913
132	0.2228579878
133	0.2219737294
134	0.2203956952
135	0.2190118067
136	0.2175390695
137	0.2164609681
138	0.2152114005
139	0.2142490162
140	0.2131765328
141	0.2120173317
142	0.2113623711
143	0.210143003
144	0.2090720466
145	0.2081752797
146	0.2068846147
147	0.2062111923
148	0.2053188357
149	0.2040186088
150	0.2023339485
151	0.2013271502
152	0.2003592756
153	0.1993836195
