iter	Passed	Remaining
0	21	8463
1	35	6966
2	44	5940
3	53	5284
4	62	4899
5	71	4682
6	79	4487
7	90	4410
8	99	4321
9	109	4260
10	120	4245
11	129	4190
12	139	4157
13	149	4119
14	159	4084
15	168	4054
16	179	4037
17	190	4036
18	199	4006
19	209	3986
20	218	3951
21	230	3953
22	240	3947
23	250	3923
24	259	3887
25	269	3882
26	278	3853
27	288	3837
28	299	3825
29	308	3806
30	317	3780
31	329	3784
32	339	3774
33	348	3755
34	358	3734
35	367	3711
36	377	3702
37	388	3697
38	397	3675
39	408	3675
40	418	3666
41	427	3644
42	438	3640
43	448	3625
44	456	3604
45	467	3594
46	476	3578
47	485	3560
48	494	3539
49	503	3525
50	513	3511
51	522	3493
52	532	3486
53	542	3478
54	551	3457
55	560	3443
56	569	3428
57	581	3429
58	590	3413
59	599	3397
60	608	3382
61	618	3369
62	626	3353
63	636	3342
64	645	3328
65	653	3309
66	663	3296
67	671	3277
68	681	3267
69	690	3254
70	699	3241
71	708	3227
72	718	3219
73	727	3206
74	735	3189
75	745	3177
76	753	3162
77	762	3146
78	772	3137
79	780	3122
80	789	3109
81	798	3094
82	806	3079
83	814	3064
84	823	3050
85	832	3038
86	842	3031
87	850	3016
88	860	3008
89	868	2990
90	877	2979
91	886	2966
92	895	2954
93	902	2938
94	911	2927
95	921	2917
96	929	2903
97	938	2891
98	947	2880
99	956	2870
100	965	2859
101	974	2848
102	983	2834
103	990	2820
104	998	2804
105	1006	2792
106	1014	2778
107	1023	2766
108	1032	2756
109	1042	2748
110	1051	2737
111	1060	2726
112	1069	2715
113	1077	2703
114	1087	2693
115	1094	2680
116	1103	2670
117	1126	2690
118	1145	2705
119	1163	2714
120	1176	2712
121	1186	2702
122	1194	2689
123	1201	2674
124	1208	2658
125	1215	2643
126	1222	2628
127	1230	2615
128	1237	2600
129	1247	2590
130	1255	2578
131	1264	2567
132	1272	2554
133	1280	2542
134	1289	2530
135	1298	2520
136	1306	2507
137	1315	2496
138	1324	2486
139	1331	2473
140	1339	2459
141	1347	2448
142	1355	2436
143	1364	2426
144	1373	2415
145	1381	2403
146	1390	2392
147	1398	2381
148	1408	2372
149	1416	2361
150	1425	2350
151	1433	2338
152	1442	2328
153	1450	2317
154	1458	2305
155	1466	2293
156	1475	2284
157	1483	2271
158	1493	2263
159	1502	2253
160	1512	2244
161	1520	2233
162	1529	2223
163	1538	2213
164	1546	2202
165	1554	2191
166	1564	2182
167	1573	2172
168	1581	2161
169	1589	2151
170	1598	2141
171	1607	2130
172	1615	2119
173	1624	2110
174	1633	2099
175	1642	2090
176	1650	2080
177	1659	2069
178	1667	2059
179	1677	2050
180	1685	2039
181	1694	2030
182	1704	2020
183	1712	2010
184	1722	2001
185	1729	1990
186	1739	1981
187	1748	1971
188	1756	1960
189	1764	1950
190	1772	1939
191	1781	1929
192	1789	1918
193	1798	1909
194	1806	1899
195	1814	1888
196	1823	1879
197	1832	1869
198	1840	1859
199	1849	1849
200	1858	1840
201	1868	1831
202	1877	1821
203	1887	1813
204	1897	1804
205	1905	1794
206	1914	1785
207	1923	1775
208	1931	1765
209	1941	1756
210	1950	1746
211	1958	1736
212	1967	1727
213	1981	1721
214	1990	1712
215	1997	1701
216	2006	1692
217	2016	1683
218	2025	1674
219	2034	1664
220	2044	1655
221	2053	1646
222	2061	1636
223	2070	1626
224	2078	1616
225	2087	1606
226	2096	1597
227	2104	1587
228	2112	1577
229	2120	1567
230	2130	1558
231	2139	1549
232	2148	1539
233	2157	1530
234	2165	1520
235	2175	1511
236	2184	1502
237	2192	1492
238	2200	1482
239	2211	1474
240	2220	1464
241	2229	1455
242	2238	1446
243	2247	1436
244	2256	1427
245	2266	1418
246	2273	1408
247	2282	1398
248	2292	1390
249	2301	1380
250	2311	1372
251	2318	1361
252	2327	1352
253	2335	1342
254	2343	1332
255	2354	1324
256	2364	1315
257	2373	1306
258	2383	1297
259	2393	1288
260	2401	1278
261	2408	1268
262	2417	1259
263	2426	1250
264	2435	1240
265	2444	1231
266	2455	1222
267	2463	1213
268	2471	1203
269	2481	1194
270	2491	1185
271	2500	1176
272	2510	1167
273	2518	1158
274	2528	1149
275	2536	1139
276	2545	1130
277	2555	1121
278	2565	1112
279	2575	1103
280	2583	1094
281	2593	1085
282	2602	1075
283	2610	1066
284	2621	1057
285	2630	1048
286	2640	1039
287	2649	1030
288	2657	1020
289	2666	1011
290	2676	1002
291	2685	993
